leftHipAngle,rightHipAngle,leftElbowAngle,rightElbowAngle,leftKneeAngle,rightKneeAngle,velocityX,velocityY,velocityZ,label
178.65509,174.1865476,174.2049874,176.4804023,169.5591055,174.8872113,0,0,0,FullRollUp
178.5559856,174.554994,174.4891976,177.062301,169.7012034,175.0468366,0.000582844,-0.000151098,0,FullRollUp
178.3446851,174.9252006,174.7079692,177.4778017,170.0324256,175.3446572,0.000555873,-0.000306964,0,FullRollUp
178.1574464,175.1047048,174.6290055,177.844558,170.5278382,175.6117837,0.000521213,-0.000206172,0,FullRollUp
178.2265212,175.3982038,175.3341816,178.3570856,170.7142069,175.4011192,0.000358224,-0.000464857,0,FullRollUp
178.2830141,175.5565726,175.7324288,178.1867567,170.9936255,175.4245817,0.000259966,-0.000297308,0,FullRollUp
178.3719388,175.7103225,175.9746491,178.198581,171.0217234,175.2346698,0.000285178,-3.00E-05,0,FullRollUp
178.4102748,175.8455858,176.0674445,178.2518005,171.0717369,175.1174005,0.000131905,2.98E-07,0,FullRollUp
178.4473548,175.9725969,176.179317,178.3199694,171.1566728,174.9855248,4.76E-05,-8.94E-07,0,FullRollUp
178.5430205,175.9880652,176.321201,178.3391448,171.3243137,175.1461486,0.000131547,-7.47E-05,0,FullRollUp
178.5146601,175.8516484,176.5766473,178.3521218,171.3656125,175.2425443,-4.83E-06,-0.000585258,0,FullRollUp
177.9698247,175.4931098,176.2836919,178.0919045,171.6862746,175.406616,0.000115365,-0.001169741,0,FullRollUp
177.8878054,175.3674042,176.0711575,177.8273423,171.7753981,175.2709942,8.79E-06,-0.000501931,0,FullRollUp
178.1809497,175.433268,176.2169215,177.7597501,171.7704182,175.2000747,-1.79E-06,-0.000188172,0,FullRollUp
178.4864132,175.5083748,176.3878957,177.785471,171.7674001,175.2017756,2.12E-05,-0.000101149,0,FullRollUp
178.5463118,175.48081,176.3603933,177.5220679,171.7771826,175.2653765,-1.12E-05,-0.000169516,0,FullRollUp
178.5965347,175.3878007,176.367836,177.4843001,171.758474,175.3933868,-3.78E-05,-0.000128806,0,FullRollUp
178.6630083,175.2703104,176.4820813,176.9890362,171.7213896,175.5340229,-1.59E-05,-4.83E-05,0,FullRollUp
178.7037281,175.2220481,176.514537,176.9183454,171.7429669,175.6265051,-1.97E-06,-1.88E-05,0,FullRollUp
178.781432,175.2379058,176.6021886,176.9396839,171.7333424,175.6716314,1.22E-05,-4.77E-07,0,FullRollUp
178.9421853,175.2643131,176.7037121,177.0408139,171.7757321,175.7114335,1.45E-05,-9.95E-06,0,FullRollUp
179.0682696,175.3415717,176.892749,177.2767892,171.770248,175.7456442,6.26E-05,-3.16E-06,0,FullRollUp
179.1689265,175.4465747,177.0888882,177.7317291,171.771268,175.7598608,0.000110775,-2.44E-06,0,FullRollUp
179.343371,175.5414558,177.3454387,177.8300571,171.7826744,175.7949001,0.000158697,-2.62E-06,0,FullRollUp
179.537933,175.6033195,177.8409254,178.2625287,171.7335594,175.8274611,0.000222176,-6.50E-06,0,FullRollUp
179.8110671,175.8090413,178.0484833,178.143342,171.5907018,175.8455032,0.000208139,-4.78E-05,0,FullRollUp
179.978081,175.9318702,178.492138,178.2790688,171.4946593,175.8796031,8.95E-05,-9.41E-05,0,FullRollUp
179.8973234,176.1068692,178.6872156,178.4213959,171.4173027,175.9110294,3.13E-05,-8.26E-05,0,FullRollUp
179.6733545,176.4628875,179.3527109,178.7729563,171.31256,175.8615166,1.37E-05,-1.82E-05,0,FullRollUp
179.6439835,176.6954425,179.8009219,179.6822741,171.3537422,175.802588,3.67E-05,-1.91E-06,0,FullRollUp
179.5913122,176.9712012,179.5015588,179.7964138,171.3710392,175.7397111,0.000123739,-1.27E-05,0,FullRollUp
179.5248221,177.344204,179.1361449,179.9067957,171.4278528,175.7455944,0.000253558,-5.66E-06,0,FullRollUp
179.395653,177.9464591,179.0569218,179.7975444,171.4515079,175.798535,3.46E-05,4.97E-05,0,FullRollUp
179.5233856,178.3219527,179.2955754,179.9748331,171.7272515,175.8351669,0.000335574,-1.01E-06,0,FullRollUp
179.656762,178.563679,179.5260028,179.4817153,172.0311571,175.8853993,2.01E-05,3.46E-06,0,FullRollUp
179.7277698,178.6706206,179.3206294,179.3447447,172.1681155,175.9003571,9.54E-07,-3.76E-06,0,FullRollUp
179.7590259,178.7267121,179.9943124,179.0322735,172.2643895,175.965553,1.85E-06,-9.54E-07,0,FullRollUp
179.7495673,178.8123744,179.7622867,178.2393687,172.3684406,176.0318431,0.000312567,-2.98E-05,0,FullRollUp
179.6898351,179.1246791,179.3424644,177.4582632,172.471342,176.1035365,0.000162721,-7.33E-06,0,FullRollUp
179.7262296,179.3559341,179.7760738,178.5646994,172.6274687,176.2457421,0.000207484,6.79E-06,0,FullRollUp
179.9096124,179.4291015,179.5630478,179.8078079,172.6947391,176.4186651,0.00020653,-8.94E-07,0,FullRollUp
179.7756632,179.4793116,179.5619811,178.65257,172.7265134,176.3375853,0.000204742,0.000220478,0,FullRollUp
179.8046868,179.78838,178.8734688,177.9794739,171.8221689,175.9856083,3.64E-05,0.001045346,0,FullRollUp
178.7275613,179.7673911,173.9462843,178.2772352,171.2123016,175.7932637,-1.41E-05,0.000981569,0,FullRollUp
178.5446919,179.8829402,179.0795516,178.6264227,171.2211875,175.6823745,-0.000217259,0.000347376,0,FullRollUp
178.3918911,179.8922805,166.6379924,179.0725171,171.0485996,175.5921233,-4.38E-05,0.00024122,0,FullRollUp
178.5048602,179.4413588,135.6538119,179.7003144,170.9288056,175.2644612,-8.34E-07,0.000100195,0,FullRollUp
178.5432571,179.2552456,164.0245166,179.7382209,170.9008452,175.1419714,4.47E-06,2.00E-05,0,FullRollUp
179.4009815,179.0247215,160.5978406,179.5154011,170.8753217,175.0054839,-2.46E-05,-3.70E-06,0,FullRollUp
179.9632641,178.7324722,179.1339779,179.2908598,170.9387194,174.7890868,-0.000144422,1.87E-05,0,FullRollUp
178.6301671,178.3467981,179.8487117,178.317741,170.9786371,174.5410046,8.34E-07,-6.56E-05,0,FullRollUp
177.1908797,177.9742315,177.7722757,177.8036769,171.0558508,174.5877816,4.83E-06,-3.98E-05,0,FullRollUp
175.9908687,177.2937899,177.4199524,177.6878337,170.6409126,174.4953787,-0.000152111,-0.000122488,0,FullRollUp
175.0438291,176.3465081,177.9942039,178.2335198,169.7536662,174.4188762,-2.09E-06,-5.10E-05,0,FullRollUp
174.8191377,175.4088205,178.4733958,178.5259205,169.7738754,174.499225,-5.36E-07,-6.20E-06,0,FullRollUp
174.0646492,174.3668133,179.1365098,178.6653394,169.2762765,174.2081747,1.94E-05,0.000375986,0,FullRollUp
173.5435752,173.7713965,178.5257301,177.8457625,169.572181,174.4316068,0.00045836,9.48E-06,0,FullRollUp
171.3396221,173.2230309,178.8595464,178.5042365,167.5980278,173.7635829,0.001130521,-0.000115335,0,FullRollUp
169.8909216,173.4224995,178.3806845,177.8516097,167.7031709,174.1366684,0.002114296,-4.07E-05,0,FullRollUp
169.1852288,173.0589843,179.7766254,177.4811604,167.7485069,173.8748136,0.001001418,-3.04E-05,0,FullRollUp
168.1026564,171.9236005,179.169698,177.9042861,167.4486724,173.3612227,0.000352919,-2.10E-05,0,FullRollUp
167.8253645,171.2115213,178.6657511,178.2846091,167.5419095,172.6749415,-0.000159204,0.000193298,0,FullRollUp
167.0779111,170.4369871,176.567711,175.0060188,166.9227277,171.9395935,-0.000112355,0.000540257,0,FullRollUp
166.4080921,169.8205232,175.6154929,174.4318592,166.5163284,171.7780832,-2.24E-05,0.00022155,0,FullRollUp
165.4996214,168.9731991,174.2167905,174.4583367,165.8376161,171.1623761,-7.38E-05,5.36E-07,0,FullRollUp
164.62771,167.6479223,174.7607894,175.4047502,165.0580122,170.519535,-4.70E-05,0.000163317,0,FullRollUp
163.4618641,166.7237634,175.0714389,175.6370224,164.7999532,169.9193202,6.84E-05,-9.30E-06,0,FullRollUp
162.2342564,165.9031492,175.6138213,176.5442159,164.3979933,169.7753639,0.000154495,-1.14E-05,0,FullRollUp
161.544762,164.4757128,174.8654101,176.3403363,164.2405249,169.1752935,-2.27E-05,6.28E-05,0,FullRollUp
160.6521036,163.2284211,174.7865912,175.3098674,164.1784992,168.9643402,5.30E-05,1.61E-05,0,FullRollUp
158.9137707,161.8975644,177.0089387,175.6904439,164.0497054,168.6854888,8.17E-06,-5.30E-05,0,FullRollUp
157.7319211,160.9631704,176.8292907,174.7538702,164.1734607,168.6451732,-4.35E-06,-3.37E-05,0,FullRollUp
157.030329,159.7359189,176.0312917,174.2674072,165.0113366,169.0499493,-3.29E-05,-1.49E-06,0,FullRollUp
155.7093775,158.2930917,174.836197,173.4683343,165.3220792,169.3001851,3.01E-05,-8.64E-06,0,FullRollUp
154.3347873,156.6666267,175.4628558,173.5501668,165.0671498,169.5058316,-2.41E-05,8.41E-05,0,FullRollUp
153.0216887,154.9417173,176.9846625,173.3205196,165.2525015,169.7112295,-0.000486016,-3.95E-05,0,FullRollUp
151.8091644,153.5133745,178.4539923,173.6237765,165.7893728,169.7773414,-0.000167489,-5.45E-05,0,FullRollUp
150.8278575,151.9383903,179.1651294,175.0685851,165.9244614,169.3789974,2.29E-05,4.19E-05,0,FullRollUp
149.8131552,150.5900876,178.102142,175.4401955,165.8107679,169.6531993,0.00010246,0.000306726,0,FullRollUp
148.1454551,148.7542265,179.1226473,175.3010639,165.7855527,169.143244,5.86E-05,-2.48E-05,0,FullRollUp
146.5507368,146.7190308,179.8704721,173.7431392,165.5011121,168.1340362,0.000175834,0.000204742,0,FullRollUp
145.0765896,145.4479915,179.8683932,174.6035918,165.6082135,167.8922047,9.61E-05,0.000522196,0,FullRollUp
